Name,Time-SOFAI-PF-FD_1,Corr-SOFAI-PF-FD_1,Opt-SOFAI-PF-FD_1,Sys-SOFAI-PF-FD_1,Planner-SOFAI-PF-FD_1
briefcase-o15__0,206190.54865837097,0.0,-1.0,-1,-1
briefcase-o15__1,204365.8971786499,0.0,-1.0,-1,-1
briefcase-o15__10,207827.76188850403,0.0,-1.0,-1,-1
briefcase-o15__11,207970.02267837524,0.0,-1.0,-1,-1
briefcase-o15__12,205934.552192688,0.0,-1.0,-1,-1
briefcase-o15__13,207965.89136123657,0.0,-1.0,-1,-1
briefcase-o15__14,208734.977722168,0.0,-1.0,-1,-1
briefcase-o15__2,204705.20877838132,0.0,-1.0,-1,-1
briefcase-o15__3,204130.1302909851,0.0,-1.0,-1,-1
briefcase-o15__4,206754.31418418884,0.0,-1.0,-1,-1
briefcase-o15__5,206887.2926235199,0.0,-1.0,-1,-1
briefcase-o15__6,205522.274017334,0.0,-1.0,-1,-1
briefcase-o15__7,206014.7306919098,0.0,-1.0,-1,-1
briefcase-o15__8,207617.08855628967,0.0,-1.0,-1,-1
briefcase-o15__9,207879.1515827179,0.0,-1.0,-1,-1
briefcase-o16__0,204484.96794700623,0.0,-1.0,-1,-1
briefcase-o16__1,206261.3344192505,0.0,-1.0,-1,-1
briefcase-o16__10,206428.3628463745,0.0,-1.0,-1,-1
briefcase-o16__11,206553.38406562805,0.0,-1.0,-1,-1
briefcase-o16__12,206886.6560459137,0.0,-1.0,-1,-1
briefcase-o16__13,208500.5416870117,0.0,-1.0,-1,-1
briefcase-o16__14,208583.92882347107,0.0,-1.0,-1,-1
briefcase-o16__2,205771.82507514957,0.0,-1.0,-1,-1
briefcase-o16__3,205237.9605770111,0.0,-1.0,-1,-1
briefcase-o16__4,207847.81432151797,0.0,-1.0,-1,-1
briefcase-o16__5,207070.1138973236,0.0,-1.0,-1,-1
briefcase-o16__6,208165.88878631592,0.0,-1.0,-1,-1
briefcase-o16__7,206116.2755489349,0.0,-1.0,-1,-1
briefcase-o16__8,207984.32207107544,0.0,-1.0,-1,-1
briefcase-o16__9,207871.94967269895,0.0,-1.0,-1,-1
briefcase-o17__0,206288.6791229248,0.0,-1.0,-1,-1
briefcase-o17__1,204394.49191093445,0.0,-1.0,-1,-1
briefcase-o17__10,207400.28405189517,0.0,-1.0,-1,-1
briefcase-o17__11,207152.78553962708,0.0,-1.0,-1,-1
briefcase-o17__12,207126.96886062625,0.0,-1.0,-1,-1
briefcase-o17__13,205189.683675766,0.0,-1.0,-1,-1
briefcase-o17__14,208407.25541114807,0.0,-1.0,-1,-1
briefcase-o17__15,208072.4191665649,0.0,-1.0,-1,-1
briefcase-o17__16,207820.82080841064,0.0,-1.0,-1,-1
briefcase-o17__17,207703.17268371585,0.0,-1.0,-1,-1
briefcase-o17__18,208158.93244743347,0.0,-1.0,-1,-1
briefcase-o17__19,208073.33254814148,0.0,-1.0,-1,-1
briefcase-o17__2,206095.14093399048,0.0,-1.0,-1,-1
briefcase-o17__20,207261.9616985321,0.0,-1.0,-1,-1
briefcase-o17__21,207157.10520744324,0.0,-1.0,-1,-1
briefcase-o17__22,207582.9226970673,0.0,-1.0,-1,-1
briefcase-o17__23,207459.9165916443,0.0,-1.0,-1,-1
briefcase-o17__24,208126.9414424896,0.0,-1.0,-1,-1
briefcase-o17__25,207542.00410842896,0.0,-1.0,-1,-1
briefcase-o17__26,206117.11597442627,0.0,-1.0,-1,-1
briefcase-o17__27,208041.081905365,0.0,-1.0,-1,-1
briefcase-o17__28,207763.59724998477,0.0,-1.0,-1,-1
briefcase-o17__29,208027.352809906,0.0,-1.0,-1,-1
briefcase-o17__3,206697.868347168,0.0,-1.0,-1,-1
briefcase-o17__30,208704.4050693512,0.0,-1.0,-1,-1
briefcase-o17__31,207656.35228157043,0.0,-1.0,-1,-1
briefcase-o17__32,205888.80491256717,0.0,-1.0,-1,-1
briefcase-o17__33,207624.0677833557,0.0,-1.0,-1,-1
briefcase-o17__34,207822.56078720093,0.0,-1.0,-1,-1
briefcase-o17__35,208446.92063331604,0.0,-1.0,-1,-1
briefcase-o17__36,208578.866481781,0.0,-1.0,-1,-1
briefcase-o17__4,206114.8135662079,0.0,-1.0,-1,-1
briefcase-o17__5,206809.06558036804,0.0,-1.0,-1,-1
briefcase-o17__6,206856.6744327545,0.0,-1.0,-1,-1
briefcase-o17__7,206762.3794078827,0.0,-1.0,-1,-1
briefcase-o17__8,207435.129404068,0.0,-1.0,-1,-1
briefcase-o17__9,206862.26725578308,0.0,-1.0,-1,-1
briefcase-o20__0,205493.89004707336,0.0,-1.0,-1,-1
briefcase-o20__1,206522.94874191284,0.0,-1.0,-1,-1
briefcase-o20__2,207726.11546516416,0.0,-1.0,-1,-1
briefcase-o20__3,205930.87339401245,0.0,-1.0,-1,-1
briefcase-o20__4,205632.5626373291,0.0,-1.0,-1,-1
briefcase-o20__5,207860.21304130557,0.0,-1.0,-1,-1
briefcase-o20__6,205971.14872932437,0.0,-1.0,-1,-1
briefcase-o20__7,208136.3050937653,0.0,-1.0,-1,-1
briefcase-o20__8,208287.3432636261,0.0,-1.0,-1,-1
briefcase-o20__9,208584.24067497253,0.0,-1.0,-1,-1
briefcase-o5__0,42188.416719436646,1.0,0.0,1,
briefcase-o5__1,38920.4638004303,1.0,0.0,1,
briefcase-o5__2,38887.04752922058,1.0,0.0,1,
briefcase-o5__3,42038.73372077942,1.0,0.0,1,
