Name,Time-SOFAI-PF-FDxLPG_5,Corr-SOFAI-PF-FDxLPG_5,Opt-SOFAI-PF-FDxLPG_5,Sys-SOFAI-PF-FDxLPG_5,Planner-SOFAI-PF-FDxLPG_5
briefcase-o15__0,43542.330265045166,1.0,18.181818181818183,2,3
briefcase-o15__1,44930.29046058655,1.0,0.0,2,3
briefcase-o15__10,45930.10783195496,1.0,5.405405405405405,2,3
briefcase-o15__11,205431.9305419922,0.0,-1.0,-1,-1
briefcase-o15__12,87723.51717948914,0.0,-1.0,-1,-1
briefcase-o15__13,208244.4624900818,0.0,-1.0,-1,-1
briefcase-o15__14,208835.72578430176,0.0,-1.0,-1,-1
briefcase-o15__2,206095.5529212952,0.0,-1.0,-1,-1
briefcase-o15__3,41254.65679168701,1.0,6.8181818181818175,2,3
briefcase-o15__4,44665.39788246155,1.0,5.405405405405405,2,3
briefcase-o15__5,42482.78903961182,1.0,12.195121951219512,2,3
briefcase-o15__6,39741.57810211182,1.0,10.256410256410255,2,3
briefcase-o15__7,43779.8113822937,1.0,13.333333333333334,2,3
briefcase-o15__8,208544.16036605835,0.0,-1.0,-1,-1
briefcase-o15__9,42069.02360916138,1.0,18.181818181818183,2,3
briefcase-o16__0,58675.421476364136,1.0,6.976744186046512,2,3
briefcase-o16__1,42591.54272079468,1.0,17.77777777777778,2,3
briefcase-o16__10,49276.27468109131,0.0,-1.0,-1,-1
briefcase-o16__11,208277.7509689331,0.0,-1.0,-1,-1
briefcase-o16__12,210034.5587730408,0.0,-1.0,-1,-1
briefcase-o16__13,45657.46450424194,0.0,-1.0,-1,-1
briefcase-o16__14,41331.87437057495,1.0,9.523809523809524,2,3
briefcase-o16__2,206791.81599617004,0.0,-1.0,-1,-1
briefcase-o16__3,44039.08276557922,1.0,12.5,2,3
briefcase-o16__4,208461.9727134705,0.0,-1.0,-1,-1
briefcase-o16__5,209170.6521511078,0.0,-1.0,-1,-1
briefcase-o16__6,83475.5744934082,1.0,11.11111111111111,2,3
briefcase-o16__7,68995.22423744202,0.0,-1.0,-1,-1
briefcase-o16__8,205941.908121109,0.0,-1.0,-1,-1
briefcase-o16__9,206467.8020477295,0.0,-1.0,-1,-1
briefcase-o17__0,41621.63257598877,0.0,-1.0,-1,-1
briefcase-o17__1,206249.69744682312,0.0,-1.0,-1,-1
briefcase-o17__10,208100.91948509216,0.0,-1.0,-1,-1
briefcase-o17__11,44420.83811759949,1.0,11.363636363636363,2,3
briefcase-o17__12,40596.99416160584,1.0,26.53061224489796,2,3
briefcase-o17__13,40260.65635681152,1.0,12.76595744680851,2,3
briefcase-o17__14,208089.89024162287,0.0,-1.0,-1,-1
briefcase-o17__15,47016.8240070343,0.0,-1.0,-1,-1
briefcase-o17__16,45252.29740142822,1.0,6.8181818181818175,2,3
briefcase-o17__17,207895.8625793457,0.0,-1.0,-1,-1
