Name,Time-SOFAI-PF-LPG_3,Corr-SOFAI-PF-LPG_3,Opt-SOFAI-PF-LPG_3,Sys-SOFAI-PF-LPG_3,Planner-SOFAI-PF-LPG_3
briefcase-o15__0,40833.03952217102,1.0,15.909090909090908,2,2
briefcase-o15__1,41713.01770210266,1.0,17.5,2,2
briefcase-o15__10,40195.99747657776,1.0,18.91891891891892,2,2
briefcase-o15__11,42050.187826156616,1.0,9.090909090909092,2,2
briefcase-o15__12,41419.26956176758,1.0,20.930232558139537,2,2
briefcase-o15__13,40837.55660057068,1.0,19.047619047619047,2,2
briefcase-o15__14,41353.675365448,1.0,18.75,2,2
briefcase-o15__2,39856.95576667786,1.0,26.190476190476197,2,2
briefcase-o15__3,40520.17402648926,1.0,11.363636363636363,2,2
briefcase-o15__4,43643.88132095337,1.0,16.216216216216218,2,2
briefcase-o15__5,39900.1522064209,1.0,19.51219512195122,2,2
briefcase-o15__6,41090.505838394165,1.0,17.94871794871795,2,2
briefcase-o15__7,42919.23189163208,1.0,24.444444444444443,2,2
briefcase-o15__8,42764.57166671753,1.0,17.5,2,2
briefcase-o15__9,42797.260999679565,1.0,20.454545454545457,2,2
briefcase-o16__0,45116.9638633728,1.0,18.6046511627907,2,2
briefcase-o16__1,42432.146072387695,1.0,22.22222222222222,2,2
briefcase-o16__10,42763.78345489502,1.0,18.181818181818183,2,2
briefcase-o16__11,44873.98195266724,1.0,19.565217391304348,2,2
briefcase-o16__12,42272.8590965271,1.0,22.448979591836736,2,2
briefcase-o16__13,41328.58657836914,1.0,15.555555555555555,2,2
briefcase-o16__14,42373.98266792297,1.0,16.666666666666664,2,2
briefcase-o16__2,42686.62977218628,1.0,21.73913043478261,2,2
briefcase-o16__3,43518.460512161255,1.0,20.833333333333336,2,2
briefcase-o16__4,42218.11866760254,1.0,23.404255319148938,2,2
briefcase-o16__5,42644.91128921509,1.0,20.40816326530612,2,2
briefcase-o16__6,42663.69581222534,1.0,22.22222222222222,2,2
briefcase-o16__7,40953.70960235596,1.0,23.684210526315788,2,2
briefcase-o16__8,41487.78510093689,1.0,18.367346938775512,2,2
briefcase-o16__9,41153.817892074585,1.0,19.565217391304348,2,2
briefcase-o17__0,41089.486837387085,1.0,22.448979591836736,2,2
briefcase-o17__1,43806.018114089966,1.0,20.0,2,2
