Name,Time-SOFAI-PF_0,Corr-SOFAI-PF_0,Opt-SOFAI-PF_0,Sys-SOFAI-PF_0,Planner-SOFAI-PF_0
briefcase-o15__0,71274.8510837555,0.375,-1.0,-1,-1
briefcase-o15__1,52136.05189323425,0.5,-1.0,-1,-1
briefcase-o15__10,43434.27610397339,0.625,-1.0,-1,-1
briefcase-o15__11,42723.477840423584,0.0,-1.0,-1,-1
briefcase-o15__12,42013.561725616455,0.4375,-1.0,-1,-1
briefcase-o15__13,41269.41013336182,0.0,-1.0,-1,-1
briefcase-o15__14,42688.31372261047,0.0,-1.0,-1,-1
briefcase-o15__2,48563.8325214386,0.0,-1.0,-1,-1
briefcase-o15__3,42712.40735054016,0.4375,-1.0,-1,-1
briefcase-o15__4,45281.25858306885,0.6875,-1.0,-1,-1
briefcase-o15__5,43388.43369483948,0.5,-1.0,-1,-1
briefcase-o15__6,43634.34147834778,0.625,-1.0,-1,-1
briefcase-o15__7,43022.02582359314,0.4375,-1.0,-1,-1
briefcase-o15__8,42765.331506729126,0.0,-1.0,-1,-1
briefcase-o15__9,43279.76489067078,0.5,-1.0,-1,-1
briefcase-o16__0,44895.116567611694,0.5882352941176471,-1.0,-1,-1
briefcase-o16__1,43953.76253128052,0.5294117647058824,-1.0,-1,-1
briefcase-o16__10,44592.6239490509,0.3529411764705882,-1.0,-1,-1
briefcase-o16__11,41978.68084907532,0.0,-1.0,-1,-1
briefcase-o16__12,42459.723472595215,0.0,-1.0,-1,-1
briefcase-o16__13,41916.3830280304,0.5882352941176471,-1.0,-1,-1
briefcase-o16__14,42803.22480201721,0.4705882352941176,-1.0,-1,-1
briefcase-o16__2,42606.876373291016,0.0,-1.0,-1,-1
briefcase-o16__3,43399.79791641235,0.3529411764705882,-1.0,-1,-1
briefcase-o16__4,51024.72686767578,0.0,-1.0,-1,-1
briefcase-o16__5,44636.15274429321,0.0,-1.0,-1,-1
briefcase-o16__6,67790.72642326355,0.4117647058823529,-1.0,-1,-1
briefcase-o16__7,65822.55029678345,0.5882352941176471,-1.0,-1,-1
briefcase-o16__8,46923.75731468201,0.0,-1.0,-1,-1
briefcase-o16__9,43409.89089012146,0.0,-1.0,-1,-1
briefcase-o17__0,45200.847864151,0.3888888888888889,-1.0,-1,-1
briefcase-o17__1,44708.8189125061,0.0,-1.0,-1,-1
briefcase-o17__10,49287.24527359009,0.0,-1.0,-1,-1
