Name,Time-SOFAI-PF-FD_15,Corr-SOFAI-PF-FD_15,Opt-SOFAI-PF-FD_15,Sys-SOFAI-PF-FD_15,Planner-SOFAI-PF-FD_15
briefcase-o15__0,89522.70674705505,0.0,-1,-1,-1
briefcase-o15__1,89898.29802513123,0.0,-1,-1,-1
briefcase-o15__10,89495.51153182983,0.0,-1,-1,-1
briefcase-o15__11,89527.96363830566,0.0,-1,-1,-1
briefcase-o15__12,89588.3514881134,0.0,-1,-1,-1
briefcase-o15__13,89139.40787315369,0.0,-1,-1,-1
briefcase-o15__14,89711.63415908813,0.0,-1,-1,-1
briefcase-o15__2,89399.97172355652,0.0,-1,-1,-1
briefcase-o15__3,89055.59134483337,0.0,-1,-1,-1
briefcase-o15__4,89776.31521224976,0.0,-1,-1,-1
briefcase-o15__5,89987.52903938293,0.0,-1,-1,-1
briefcase-o15__6,90001.02829933167,0.0,-1,-1,-1
briefcase-o15__7,89383.60118865967,0.0,-1,-1,-1
briefcase-o15__8,89407.87148475647,0.0,-1,-1,-1
briefcase-o15__9,89740.96727371216,0.0,-1,-1,-1
briefcase-o16__0,89743.98946762085,0.0,-1,-1,-1
briefcase-o16__1,89993.7846660614,0.0,-1,-1,-1
briefcase-o16__10,89985.00108718872,0.0,-1,-1,-1
briefcase-o16__11,89446.78115844727,0.0,-1,-1,-1
briefcase-o16__12,89075.24394989014,0.0,-1,-1,-1
briefcase-o16__13,89386.80148124695,0.0,-1,-1,-1
briefcase-o16__14,89180.03511428833,0.0,-1,-1,-1
briefcase-o16__2,89523.77724647522,0.0,-1,-1,-1
briefcase-o16__3,89272.10688591003,0.0,-1,-1,-1
briefcase-o16__4,89850.69799423218,0.0,-1,-1,-1
briefcase-o16__5,89921.49829864502,0.0,-1,-1,-1
briefcase-o16__6,89314.19563293457,0.0,-1,-1,-1
briefcase-o16__7,89203.67360115051,0.0,-1,-1,-1
briefcase-o16__8,89844.6536064148,0.0,-1,-1,-1
briefcase-o16__9,89228.1289100647,0.0,-1,-1,-1
briefcase-o17__0,89201.01404190063,0.0,-1,-1,-1
briefcase-o17__1,89296.8533039093,0.0,-1,-1,-1
briefcase-o17__10,89508.96954536438,0.0,-1,-1,-1
briefcase-o17__11,89449.09811019897,0.0,-1,-1,-1
briefcase-o17__12,89129.21118736267,0.0,-1,-1,-1
briefcase-o17__13,89261.10172271729,0.0,-1,-1,-1
briefcase-o17__14,89956.97665214539,0.0,-1,-1,-1
briefcase-o17__15,89898.77557754517,0.0,-1,-1,-1
