Name,Time-SOFAI-PF-FDxLPG_18,Corr-SOFAI-PF-FDxLPG_18,Opt-SOFAI-PF-FDxLPG_18,Sys-SOFAI-PF-FDxLPG_18,Planner-SOFAI-PF-FDxLPG_18
briefcase-o15__0,8998.945713043213,0.0,-1,-1,-1
briefcase-o15__1,9827.263116836548,1.0,-1,2,3
briefcase-o15__10,9230.111360549929,1.0,-1,2,3
briefcase-o15__11,89393.887758255,0.0,-1,-1,-1
briefcase-o15__12,7737.970352172852,0.0,-1,-1,-1
briefcase-o15__13,89081.02083206177,0.0,-1,-1,-1
briefcase-o15__14,89902.01568603516,0.0,-1,-1,-1
briefcase-o15__2,89378.0357837677,0.0,-1,-1,-1
briefcase-o15__3,8606.73475265503,1.0,-1,2,3
briefcase-o15__4,10295.10760307312,1.0,-1,2,3
briefcase-o15__5,8983.036041259766,1.0,-1,2,3
briefcase-o15__6,9187.01696395874,1.0,-1,2,3
briefcase-o15__7,9708.941221237184,1.0,-1,2,3
briefcase-o15__8,89447.25728034973,0.0,-1,-1,-1
briefcase-o15__9,8932.335615158081,1.0,-1,2,3
briefcase-o16__0,10552.166223526,1.0,-1,2,3
briefcase-o16__1,9197.43824005127,1.0,-1,2,3
briefcase-o16__10,8683.642625808716,0.0,-1,-1,-1
briefcase-o16__11,89102.89144515991,0.0,-1,-1,-1
briefcase-o16__12,89465.98768234253,0.0,-1,-1,-1
briefcase-o16__13,8591.773986816406,0.0,-1,-1,-1
briefcase-o16__14,8376.773595809937,1.0,-1,2,3
briefcase-o16__2,89720.09801864624,0.0,-1,-1,-1
briefcase-o16__3,11026.000261306765,1.0,-1,2,3
briefcase-o16__4,89639.06955718994,0.0,-1,-1,-1
briefcase-o16__5,89934.36479568481,0.0,-1,-1,-1
briefcase-o16__6,9589.44058418274,1.0,-1,2,3
briefcase-o16__7,8735.34083366394,0.0,-1,-1,-1
briefcase-o16__8,89287.79649734497,0.0,-1,-1,-1
briefcase-o16__9,89609.26842689514,0.0,-1,-1,-1
briefcase-o17__0,8808.018445968628,0.0,-1,-1,-1
briefcase-o17__1,89768.03636550903,0.0,-1,-1,-1
briefcase-o17__10,89266.66712760925,0.0,-1,-1,-1
briefcase-o17__11,9210.416078567505,1.0,-1,2,3
briefcase-o17__12,9305.110692977903,1.0,-1,2,3
briefcase-o17__13,12157.817602157593,1.0,-1,2,3
briefcase-o17__14,89258.97312164307,0.0,-1,-1,-1
briefcase-o17__15,8758.570671081543,0.0,-1,-1,-1
briefcase-o17__16,9698.354721069336,1.0,-1,2,3
