Name,Time-SOFAI-PF-LPG_16,Corr-SOFAI-PF-LPG_16,Opt-SOFAI-PF-LPG_16,Sys-SOFAI-PF-LPG_16,Planner-SOFAI-PF-LPG_16
briefcase-o15__0,9033.955097198486,1.0,-1,2,2
briefcase-o15__1,9093.867540359495,1.0,-1,2,2
briefcase-o15__10,9126.6508102417,1.0,-1,2,2
briefcase-o15__11,9068.872213363647,1.0,-1,2,2
briefcase-o15__12,8904.263019561768,1.0,-1,2,2
briefcase-o15__13,9387.163400650024,1.0,-1,2,2
briefcase-o15__14,9675.512552261353,1.0,-1,2,2
briefcase-o15__2,8573.06170463562,1.0,-1,2,2
briefcase-o15__3,9407.835721969604,1.0,-1,2,2
briefcase-o15__4,9489.475011825562,1.0,-1,2,2
briefcase-o15__5,9461.119890213013,1.0,-1,2,2
briefcase-o15__6,9346.328496932983,1.0,-1,2,2
briefcase-o15__7,8811.006307601929,1.0,-1,2,2
briefcase-o15__8,9838.214635849,1.0,-1,2,2
briefcase-o15__9,10464.617013931274,1.0,-1,2,2
briefcase-o16__0,9233.24489593506,1.0,-1,2,2
briefcase-o16__1,9767.810583114624,1.0,-1,2,2
briefcase-o16__10,9810.052871704102,1.0,-1,2,2
briefcase-o16__11,9279.531955718994,1.0,-1,2,2
briefcase-o16__12,8866.302251815796,1.0,-1,2,2
briefcase-o16__13,10564.008712768557,1.0,-1,2,2
briefcase-o16__14,9093.018293380735,1.0,-1,2,2
briefcase-o16__2,8648.578643798828,1.0,-1,2,2
briefcase-o16__3,9925.15778541565,1.0,-1,2,2
briefcase-o16__4,8894.496202468872,1.0,-1,2,2
briefcase-o16__5,9268.070459365845,1.0,-1,2,2
briefcase-o16__6,9564.294338226318,1.0,-1,2,2
briefcase-o16__7,9957.156419754028,1.0,-1,2,2
briefcase-o16__8,9547.816276550291,1.0,-1,2,2
briefcase-o16__9,8991.031169891357,1.0,-1,2,2
briefcase-o17__0,9143.507480621338,1.0,-1,2,2
briefcase-o17__1,9477.944612503052,1.0,-1,2,2
briefcase-o17__10,9427.643537521362,1.0,-1,2,2
briefcase-o17__11,7772.098302841186,1.0,-1,2,2
briefcase-o17__12,9400.458574295044,1.0,-1,2,2
briefcase-o17__13,10178.420066833496,1.0,-1,2,2
briefcase-o17__14,10762.678623199465,1.0,-1,2,2
briefcase-o17__15,10002.42519378662,1.0,-1,2,2
briefcase-o17__16,9369.078159332275,1.0,-1,2,2
briefcase-o17__17,9044.476509094238,1.0,-1,2,2
briefcase-o17__18,9788.038969039915,1.0,-1,2,2
briefcase-o17__19,8167.624950408936,1.0,-1,2,2
briefcase-o17__2,9294.696807861328,1.0,-1,2,2
briefcase-o17__20,9492.943525314333,1.0,-1,2,2
briefcase-o17__21,9236.23776435852,1.0,-1,2,2
briefcase-o17__22,9324.970722198486,1.0,-1,2,2
briefcase-o17__23,9180.090427398682,1.0,-1,2,2
briefcase-o17__24,9530.823707580566,1.0,-1,2,2
briefcase-o17__25,10582.712173461914,1.0,-1,2,2
briefcase-o17__26,9158.31732749939,1.0,-1,2,2
briefcase-o17__27,8996.18935585022,1.0,-1,2,2
briefcase-o17__28,9403.65719795227,1.0,-1,2,2
briefcase-o17__29,9322.173118591309,1.0,-1,2,2
briefcase-o17__3,10123.667001724243,1.0,-1,2,2
briefcase-o17__30,10495.37968635559,1.0,-1,2,2
