Name,Time-SOFAI-PF-LPGxLPG_17,Corr-SOFAI-PF-LPGxLPG_17,Opt-SOFAI-PF-LPGxLPG_17,Sys-SOFAI-PF-LPGxLPG_17,Planner-SOFAI-PF-LPGxLPG_17
briefcase-o15__0,7952.39782333374,0.0,-1,-1,-1
briefcase-o15__1,8938.499927520752,1.0,-1,2,3
briefcase-o15__10,9984.716892242432,1.0,-1,2,3
briefcase-o15__11,10484.407901763916,1.0,-1,2,2
briefcase-o15__12,9021.631479263306,0.0,-1,-1,-1
briefcase-o15__13,8971.079349517822,1.0,-1,2,2
briefcase-o15__14,9175.84991455078,1.0,-1,2,2
briefcase-o15__2,9197.380542755129,1.0,-1,2,2
briefcase-o15__3,9170.592784881592,1.0,-1,2,3
briefcase-o15__4,9635.69974899292,1.0,-1,2,3
briefcase-o15__5,8862.395763397217,1.0,-1,2,3
briefcase-o15__6,8624.216794967651,1.0,-1,2,3
briefcase-o15__7,9591.577529907228,1.0,-1,2,3
briefcase-o15__8,10587.889194488524,1.0,-1,2,2
briefcase-o15__9,8748.210430145264,1.0,-1,2,3
briefcase-o16__0,9314.217329025269,1.0,-1,2,3
briefcase-o16__1,10051.061153411863,1.0,-1,2,3
briefcase-o16__10,8729.540586471558,0.0,-1,-1,-1
briefcase-o16__11,9668.194055557253,1.0,-1,2,2
briefcase-o16__12,9927.728652954102,1.0,-1,2,2
briefcase-o16__13,8957.820415496826,0.0,-1,-1,-1
briefcase-o16__14,9749.070167541504,1.0,-1,2,3
briefcase-o16__2,9752.37512588501,1.0,-1,2,2
briefcase-o16__3,9101.961374282835,1.0,-1,2,3
briefcase-o16__4,10962.863206863403,1.0,-1,2,2
briefcase-o16__5,9195.391178131104,1.0,-1,2,2
briefcase-o16__6,10085.01648902893,1.0,-1,2,3
briefcase-o16__7,9835.36148071289,0.0,-1,-1,-1
briefcase-o16__8,9122.12085723877,1.0,-1,2,2
briefcase-o16__9,9486.706256866457,1.0,-1,2,2
briefcase-o17__0,10511.180877685549,0.0,-1,-1,-1
briefcase-o17__1,9227.20503807068,1.0,-1,2,2
briefcase-o17__10,9216.978073120115,1.0,-1,2,2
briefcase-o17__11,10716.560125350952,1.0,-1,2,3
briefcase-o17__12,10361.868381500244,1.0,-1,2,3
briefcase-o17__13,8514.96696472168,1.0,-1,2,3
briefcase-o17__14,9447.95060157776,1.0,-1,2,2
briefcase-o17__15,9723.168849945068,0.0,-1,-1,-1
briefcase-o17__16,8872.450828552246,1.0,-1,2,3
briefcase-o17__17,9953.972816467283,1.0,-1,2,2
briefcase-o17__18,10949.439287185667,1.0,-1,2,2
briefcase-o17__19,9593.133926391602,1.0,-1,2,3
briefcase-o17__2,9229.631423950195,1.0,-1,2,2
briefcase-o17__20,9282.89008140564,1.0,-1,2,3
briefcase-o17__21,8868.154048919678,1.0,-1,2,2
briefcase-o17__22,9528.564453125,1.0,-1,2,3
briefcase-o17__23,9859.235048294067,1.0,-1,2,2
briefcase-o17__24,10043.347358703611,1.0,-1,2,2
briefcase-o17__25,9868.14785003662,1.0,-1,2,2
briefcase-o17__26,9717.599153518677,1.0,-1,2,2
briefcase-o17__27,9914.306640625,1.0,-1,2,2
briefcase-o17__28,9241.157293319702,1.0,-1,2,3
briefcase-o17__29,10121.061325073242,1.0,-1,2,2
briefcase-o17__3,9331.090927124023,1.0,-1,2,2
briefcase-o17__30,9572.368860244753,1.0,-1,2,3
briefcase-o17__31,9885.372877120972,0.0,-1,-1,-1
briefcase-o17__32,11139.41526412964,1.0,-1,2,3
briefcase-o17__33,8960.848331451416,1.0,-1,2,3
briefcase-o17__34,9066.113710403442,0.0,-1,-1,-1
briefcase-o17__35,9466.128587722778,1.0,-1,2,3
briefcase-o17__36,9745.402336120604,1.0,-1,2,3
briefcase-o17__4,8393.795251846313,1.0,-1,2,2
briefcase-o17__5,11207.58056640625,1.0,-1,2,2
briefcase-o17__6,9119.587421417236,1.0,-1,2,3
briefcase-o17__7,9812.997579574583,1.0,-1,2,3
briefcase-o17__8,10735.934019088743,1.0,-1,2,2
briefcase-o17__9,9568.588018417358,1.0,-1,2,3
briefcase-o20__0,10085.631132125854,1.0,-1,2,2
briefcase-o20__1,9104.814291000366,0.0,-1,-1,-1
briefcase-o20__2,10092.59271621704,1.0,-1,2,2
briefcase-o20__3,10263.147592544556,1.0,-1,2,3
briefcase-o20__4,9444.74744796753,1.0,-1,2,2
briefcase-o20__5,10220.726251602173,1.0,-1,2,2
briefcase-o20__6,10260.895013809204,1.0,-1,2,2
briefcase-o20__7,9831.045866012571,1.0,-1,2,3
briefcase-o20__8,9452.718257904053,0.0,-1,-1,-1
briefcase-o20__9,10472.574234008787,1.0,-1,2,3
briefcase-o5__0,5588.305711746216,1.0,-1,1,
briefcase-o5__1,3319.1616535186768,1.0,-1,1,
briefcase-o5__2,3667.436599731445,1.0,-1,1,
briefcase-o5__3,5176.311731338501,1.0,-1,1,
briefcase-o5__4,4066.7574405670166,1.0,-1,1,
briefcase-o8__0,7012.741804122925,1.0,-1,1,
briefcase-o8__1,9687.277793884276,1.0,-1,1,
briefcase-o8__10,6015.316247940064,1.0,-1,1,
briefcase-o8__11,6490.596055984497,1.0,-1,1,
briefcase-o8__12,6786.014556884766,1.0,-1,1,
briefcase-o8__13,5915.793895721436,1.0,-1,1,
briefcase-o8__14,5556.594371795654,1.0,-1,1,
briefcase-o8__15,5035.142421722412,1.0,-1,1,
briefcase-o8__16,7431.1559200286865,1.0,-1,1,
briefcase-o8__17,8665.678977966309,1.0,-1,1,
briefcase-o8__2,7188.25626373291,1.0,-1,1,
briefcase-o8__3,6269.859552383423,1.0,-1,1,
briefcase-o8__4,7119.351148605347,1.0,-1,1,
briefcase-o8__5,7803.206205368042,1.0,-1,1,
briefcase-o8__6,5996.192932128906,1.0,-1,1,
briefcase-o8__7,7825.167417526245,1.0,-1,1,
briefcase-o8__8,8295.757055282593,1.0,-1,1,
briefcase-o8__9,6889.764547348023,1.0,-1,1,
